"시설번호","지역코드","시설일련번호","시도명","시군구명","시설구분코드","시설구분","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","이재민수용능력","관리부서","지자체담당자연락처","경도","위도","X좌표","Y좌표"
"7176","1150000000","372","서울특별시","강서구","003","경로당","원당 경로당","1150010600106500000008335","1150010600","1150061500","서울특별시 강서구 강서로52길 72(내발산동)","96","36","나강하","010-6690-3044","126.842141","37.557270","186051.949904","550872.043067"
"7177","1150000000","408","서울특별시","강서구","003","경로당","신광명경로당","1150010700102210001009151","1150010700","1150061100","서울특별시 강서구 남부순환로19길 105(외발산동)","260","100","송병근","010-5235-8383","126.823064","37.546780","184364.094665","549710.872556"
"7178","1150000000","426","서울특별시","강서구","001","학교","송정초등학교 체육관","1150010800100220169005513","1150010800","1150062000","서울특별시 강서구 공항대로3길 18(공항동)","618","237","임선미","010-8532-1104","126.810892","37.562181","183291.909546","551422.258280"
"7179","1150000000","427","서울특별시","강서구","001","학교","송정중학교","1150010800107680001007651","1150010800","1150062000","서울특별시 강서구 남부순환로 121(공항동)","869","334","조방희","010-2644-4571","126.815248","37.553596","183674.898825","550468.658457"
"7180","1150000000","376","서울특별시","강서구","003","경로당","산우물 경로당","1150010800100020091007853","1150010800","1150062000","서울특별시 강서구 방화대로21가길 18(공항동)","167","64","김명연","010-5575-9926","126.814674","37.563764","183626.379243","551597.290638"
"7181","1150000000","377","서울특별시","강서구","003","경로당","다솔 경로당","1150010800113610001007925","1150010800","1150062000","서울특별시 강서구 방화대로6길 24-3 (공항동)","349","134","김순이","010-8876-2988","126.818179","37.554823","183934.126668","550604.387114"
"7182","1150000000","374","서울특별시","강서구","003","경로당","동부경로당","1150010800100410068007903","1150010800","1150062000","서울특별시 강서구 공항대로8길 33-9 (공항동)","87","37","황영길","010-8989-8651","126.812864","37.559549","183465.573478","551129.800414"
"7183","1153000000","368","서울특별시","구로구","001","학교","구현고등학교","1153010200106200030000003","1153010200","1153053000","서울특별시 구로구 경인로53가길 17(구로동)","799","307","","","126.874535","37.502237","188906.015265","544759.787326"
"7184","1153000000","365","서울특별시","구로구","004","관공서","구로구민회관","1153010200101020000020807","1153010200","1153056000","서울특별시 구로구 가마산로25길 21(구로동)","151","58","","","126.889365","37.496926","190216.684655","544168.727778"
"7185","1153000000","366","서울특별시","구로구","004","관공서","구로3동주민센터","1153010200107770022000002","1153010200","1153054000","서울특별시 구로구 디지털로31길 109(구로동)","173","66","","","126.890325","37.487346","190300.290981","543105.392447"
"7186","1153000000","376","서울특별시","구로구","007","기타시설","롯데시티호텔 구로","1153010200101880025022719","1153010200","1153054000","서울특별시 구로구 디지털로 300(구로동)","132","20","","","126.896261","37.485064","190825.009998","542851.466644"
"7187","1153000000","369","서울특별시","구로구","014","공공시설(국?공립도서관, 공립병원, 시?도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)","화원종합사회복지관","1153010200104760134026810","1153010200","1153053000","서울특별시 구로구 벚꽃로 484(구로동)","220","84","","","126.880139","37.497347","189400.837019","544216.462321"
"7188","1153000000","362","서울특별시","구로구","001","학교","서울영일초등학교","1153010300100210003015167","1153010300","1153059500","서울특별시 구로구 남부순환로105길 218(가리봉동)","641","246","","","126.883437","37.484688","189690.736602","542811.032616"
"7189","1153000000","377","서울특별시","구로구","007","기타시설","제이에스호스텔","1153010300101350025016174","1153010300","1153059500","서울특별시 구로구 남부순환로105길 32(가리봉동)","55","15","","","126.891042","37.479498","190362.745162","542234.270114"
"7190","1153000000","16","서울특별시","구로구","001","학교","세곡초등학교","1153010600102530129012952","1153010600","1153073000","서울특별시 구로구 고척로33길 34(고척동)","720","277","김성자","010-8628-5101","126.849119","37.504817","186659.133699","545049.483693"
"7191","1153000000","348","서울특별시","구로구","001","학교","고척중학교","1153010600100760002014399","1153010600","1153072000","서울특별시 구로구 중앙로3길 20(고척동)","1046","402","김선익","","126.862068","37.500226","187803.335324","544538.148082"
"7192","1153000000","349","서울특별시","구로구","001","학교","고산초등학교","1153010600100760380014306","1153010600","1153072000","서울특별시 구로구 중앙로 6(고척동)","612","235","이종진","","126.865397","37.499342","188097.562643","544439.609278"
"7193","1153000000","344","서울특별시","구로구","001","학교","고척고등학교","1153010600102320000026814","1153010600","1153073000","서울특별시 구로구 중앙로15길 162(고척동)","372","143","박정열","02-2684-1593","126.850947","37.488094","186817.825990","543193.152753"
"7194","1153000000","345","서울특별시","구로구","001","학교","덕의초등학교","1153010600102170000012930","1153010600","1153073000","서울특별시 구로구 고척로 213(고척동)","927","357","나미현","","126.856733","37.506217","187332.598851","545203.777056"
"7195","1153000000","350","서울특별시","구로구","001","학교","고원초등학교","1153010600100660026014584","1153010600","1153072000","서울특별시 구로구 경인로46길 13(고척동)","713","274","류승현","","126.865797","37.497566","188132.652104","544242.445702"
"7196","1153000000","351","서울특별시","구로구","001","학교","경인고등학교","1153010600100660028014582","1153010600","1153072000","서울특별시 구로구 경인로46길 31(고척동)","1101","423","윤종모","","126.865397","37.496837","188097.165048","544161.586640"
"7197","1153000000","363","서울특별시","구로구","001","학교","서울고척초등학교","1153010600101290003014389","1153010600","1153072000","서울특별시 구로구 경서로 31(고척동)","552","212","","","126.857191","37.500949","187372.221260","544619.008305"
